Date,Time,Open,High,Low,Close,Volume
2016.12.12,0:00,1.05326,1.06513,1.0525,1.06336,110121
2016.12.13,0:00,1.06333,1.06667,1.06034,1.06244,111390
2016.12.14,0:00,1.06233,1.06698,1.04955,1.0534,130430
2016.12.15,0:00,1.05308,1.05389,1.0366,1.04126,176714
2016.12.16,0:00,1.04107,1.04738,1.04003,1.04401,131292
2016.12.19,0:00,1.04374,1.04791,1.03922,1.0401,121163
2016.12.20,0:00,1.03998,1.04175,1.03519,1.03867,115654
2016.12.21,0:00,1.03846,1.04509,1.03819,1.04228,105491
2016.12.22,0:00,1.0422,1.04989,1.04213,1.04355,110530
2016.12.23,0:00,1.04326,1.047,1.04262,1.047,75096
2016.12.26,0:00,1.04607,1.04668,1.03249,1.04491,47410
2016.12.27,0:00,1.04493,1.0463,1.04319,1.04566,72708
2016.12.28,0:00,1.04546,1.04795,1.03717,1.04102,93854
2016.12.29,0:00,1.04162,1.04936,1.04079,1.04892,115152
2016.12.30,0:00,1.04844,1.06522,1.04827,1.05129,148061
2017.01.02,0:00,1.051,1.05275,1.0448,1.04519,72718
2017.01.03,0:00,1.04524,1.04898,1.03399,1.04044,139324
2017.01.04,0:00,1.04044,1.04996,1.03895,1.04871,138590
2017.01.05,0:00,1.04871,1.06149,1.04804,1.06055,170775
2017.01.06,0:00,1.06005,1.06207,1.05235,1.05235,146005
2017.01.09,0:00,1.05292,1.05826,1.05104,1.05723,125786
2017.01.10,0:00,1.05718,1.06268,1.05506,1.05534,147521
2017.01.11,0:00,1.0553,1.06226,1.04534,1.05818,180833
2017.01.12,0:00,1.05818,1.06844,1.0571,1.06109,180737
2017.01.13,0:00,1.06104,1.0673,1.05959,1.0642,140972
2017.01.16,0:00,1.06023,1.06355,1.05789,1.05946,117921
2017.01.17,0:00,1.05946,1.0719,1.05893,1.0712,171590
2017.01.18,0:00,1.07111,1.0715,1.06278,1.06286,145047
2017.01.19,0:00,1.06288,1.06763,1.05888,1.06627,167227
2017.01.20,0:00,1.0661,1.0709,1.06248,1.06982,161072
2017.01.23,0:00,1.07004,1.07688,1.0693,1.07631,156981
2017.01.24,0:00,1.07643,1.07745,1.07199,1.0731,142061
2017.01.25,0:00,1.07288,1.07694,1.07109,1.07465,139081
2017.01.26,0:00,1.07477,1.07653,1.06572,1.0681,146126
2017.01.27,0:00,1.06794,1.07247,1.06579,1.06968,129909
2017.01.30,0:00,1.07023,1.07399,1.062,1.0692,130404
2017.01.31,0:00,1.06921,1.0812,1.06843,1.07968,168241
2017.02.01,0:00,1.07958,1.0807,1.07298,1.07675,147722
2017.02.02,0:00,1.07668,1.08284,1.07556,1.07569,150375
